Song,Danceability,Energy,Valence,Acousticness,Instrumentalness,Tempo,Key,Speechiness
Under a blanket of blue - Ella Firzgerald & Louis Armstrong,0.28,0.21,0.68,0.92,0.05,72.4,5,0.04
ผิงไฟ - Max Jenmana,0.42,0.38,0.61,0.85,0.12,98.6,7,0.03
ใจพัง -Saran,0.56,0.74,0.22,0.31,0.02,126.8,9,0.06
Denial is a river - Doechi,0.77,0.68,0.48,0.18,0.02,139.2,1,0.18
She's gone Dance on de Disclosure,0.85,0.81,0.63,0.12,0.08,124.3,10,0.05
Plug in baby - Muse,0.52,0.94,0.61,0.15,0.03,137.6,4,0.07
Feo - Fiti y Fitipaldis,0.63,0.85,0.72,0.24,0.01,128.4,6,0.06
Someday - The Strokes,0.67,0.89,0.74,0.13,0.01,152.7,2,0.08
feel good - charlotte cardin,0.71,0.52,0.35,0.56,0,116.5,7,0.04
that's so true - gracie abrams,0.37,0.41,0.24,0.79,0,87.3,3,0.05
"LET ME BE YOUR HALO - horja,neconi",0.63,0.84,0.54,0.19,0.32,133.2,9,0.07
Gone - Midi Memory,0.78,0.69,0.58,0.22,0.26,121.6,8,0.04
Disclosure - Seduction,0.84,0.91,0.73,0.08,0.54,124.8,1,0.06
A change is gonna come - Sam Cooke,0.33,0.44,0.58,0.88,0.02,69.2,5,0.05
"No one noticed, The Marias",0.56,0.49,0.62,0.68,0.17,98.3,3,0.04
Million Zamdane,0.73,0.68,0.41,0.16,0,125.6,11,0.32
Eyes Closed - Imagine Dragons,0.62,0.83,0.55,0.21,0,138.2,6,0.06
Peur-Kerchak,0.61,0.74,0.38,0.22,0.04,124.5,9,0.09
Getting to know ya - Nao,0.79,0.66,0.72,0.38,0.01,118.2,2,0.04
Bummerland - AJR,0.68,0.72,0.63,0.31,0,126.7,7,0.07
I don't need no doctor - John Mayer,0.59,0.88,0.77,0.28,0.02,133.4,0,0.06
The emptiness machine - Linkin Park,0.42,0.92,0.31,0.09,0.05,128.6,8,0.1
California,0.67,0.58,0.82,0.41,0.01,108.3,5,0.04
Be Here Now - Basement,0.54,0.87,0.46,0.19,0.02,145.2,2,0.06
Ma meilleure ennemie - Stromae & Pomme,0.68,0.72,0.43,0.26,0,116.7,9,0.08
Bruno Mars / Lady Gaga Die with a smile,0.48,0.51,0.66,0.72,0,92.4,3,0.04
Skrzydlate ręce - enej,0.76,0.68,0.82,0.27,0.03,128.3,7,0.05
Black magic,0.74,0.67,0.58,0.19,0.07,123.4,10,0.06
PANDEMONIUM - Vald,0.69,0.78,0.43,0.12,0,129.6,1,0.28
"""Song 2"" - Blur",0.47,0.96,0.68,0.06,0.02,130.2,4,0.07
Bleed - Malcom Todd,0.48,0.83,0.32,0.24,0.01,134.7,8,0.05
La marche de Radetsky - Strauss,0.38,0.76,0.84,0.56,0.91,128.3,3,0.03
Nightmarez - Duvy,0.72,0.68,0.27,0.16,0.03,135.2,11,0.23
Turangalila Symphony - Olivier Messiaen,0.21,0.78,0.48,0.67,0.93,96.5,6,0.03
Position Backshot - Blicassty,0.85,0.74,0.64,0.07,0,128.9,1,0.24
360 - charli xcx,0.82,0.88,0.67,0.11,0.12,130.6,7,0.06
IGYEIH - Linkin Park,0.43,0.91,0.28,0.08,0.02,138.9,10,0.09
Beyoncé - Diva,0.78,0.81,0.72,0.12,0.01,122.6,9,0.18
Etincelle (Maradona) - Tiakola,0.76,0.69,0.57,0.14,0,126.8,2,0.21
Twinkle Twinkle - Peder Elias,0.63,0.52,0.74,0.59,0.03,102.4,5,0.04
I miss you - Radio Mix,0.73,0.67,0.44,0.16,0.06,122.3,8,0.05
"Capaz - Alleh, Yorghaki",0.65,0.72,0.48,0.21,0.01,124.7,3,0.12
Zombieboy - Lady Gaga,0.68,0.87,0.35,0.09,0.01,128.3,1,0.07
"ExtraL- Jennie, Doechii",0.81,0.79,0.58,0.12,0.02,132.6,11,0.16
Déjà vu - Taemin,0.76,0.82,0.63,0.15,0.02,124.5,7,0.06
back to black - amy winehouse,0.54,0.63,0.28,0.59,0.01,109.8,9,0.08
Yours to Hold - Skillet,0.48,0.85,0.43,0.16,0,127.3,4,0.05
"Isis - Joyner Lucas, Logic",0.71,0.68,0.42,0.18,0,128.6,2,0.32
Like jennie - jennie,0.79,0.73,0.68,0.14,0.02,126.7,10,0.08
Ordinary - Alex Warren,0.62,0.66,0.48,0.38,0,118.3,5,0.04
Also sprach Zarathoustra - Richard Strauss,0.15,0.83,0.42,0.76,0.94,86.4,3,0.02
Téléfoot- Luidji,0.67,0.59,0.42,0.31,0.01,112.6,8,0.18
Baby don't like it - nct u,0.74,0.78,0.64,0.16,0.01,126.8,1,0.07
Attached to you - Fletcher,0.69,0.62,0.58,0.28,0,119.3,6,0.05
"See through - Primary (Feat. Gaeko, Zion.T)",0.78,0.64,0.72,0.24,0.03,112.5,9,0.09
Mona Lisa jhope,0.76,0.71,0.57,0.19,0.02,124.3,7,0.12
Untilted - Blaxian,0.68,0.76,0.48,0.22,0.04,126.8,11,0.08
Breaking dishes,0.72,0.85,0.47,0.12,0.01,129.4,2,0.09
Kassded - H JeuneCrack,0.74,0.76,0.38,0.14,0,128.5,1,0.23
Siren sounds (bonus) -Tate McRae,0.69,0.78,0.52,0.17,0.01,126.3,5,0.07
Quarter life (txt),0.65,0.58,0.42,0.33,0.05,108.6,8,0.05
Justinian - Farya Faraji,0.22,0.73,0.47,0.63,0.88,103.4,10,0.04
Iverson - laylow,0.68,0.72,0.43,0.18,0,128.6,3,0.19
Régulation - Vald,0.64,0.73,0.37,0.16,0,127.8,1,0.26
Simulation Swarm - Big Thief,0.56,0.61,0.48,0.68,0.12,108.3,6,0.04
ZITTI E BUONI - Måneskin,0.56,0.93,0.69,0.08,0.02,138.7,4,0.08
petite soeur - Houdi,0.62,0.54,0.37,0.35,0,102.6,9,0.14
