age,gender,change_mood,mental_score,pop,rock,hip-hop/rap,country,classical,jazz,folk,metal,electronic/dance,others,Song,Danceability,Energy,Valence,Acousticness,Instrumentalness,Tempo,Key,Speechiness,1-2 hours,3-4 hours,Less than 1 hour,More than 5 hours,music_type_matches_mood,music_type_no_music_when_down,music_type_contrasts_mood,music_type_both
22,0.0,1,13.25,1,0,0,0,1,1,0,0,0,0,Under a blanket of blue - Ella Firzgerald & Louis Armstrong,0.28,0.21,0.68,0.92,0.05,72.4,5,0.04,1,0,0,0,1,0,0,0
22,0.0,0,6.000000000000001,1,0,1,0,0,0,0,0,1,0,ผิงไฟ - Max Jenmana,0.42,0.38,0.61,0.85,0.12,98.6,7,0.03,1,0,0,0,0,1,0,0
21,0.0,0,6.499999999999999,1,0,1,0,0,0,0,1,0,0,ใจพัง -Saran,0.56,0.74,0.22,0.31,0.02,126.8,9,0.06,0,0,1,0,0,1,0,0
22,1.0,1,4.25,1,1,0,0,0,0,0,0,1,1,Denial is a river - Doechi,0.77,0.68,0.48,0.18,0.02,139.2,1,0.18,1,0,0,0,1,0,0,0
20,1.0,1,5.5,0,1,1,0,0,0,0,0,1,1,She's gone Dance on de Disclosure,0.85,0.81,0.63,0.12,0.08,124.3,10,0.05,1,0,0,0,0,0,1,0
20,0.0,0,0.0,1,1,0,0,0,0,0,0,0,0,Plug in baby - Muse,0.52,0.94,0.61,0.15,0.03,137.6,4,0.07,0,1,0,0,1,0,0,0
21,0.0,1,6.75,1,1,1,0,0,0,0,0,1,0,Feo - Fiti y Fitipaldis,0.63,0.85,0.72,0.24,0.01,128.4,6,0.06,1,0,0,0,0,0,0,1
22,1.0,0,9.25,1,1,0,0,0,1,0,0,0,0,Someday - The Strokes,0.67,0.89,0.74,0.13,0.01,152.7,2,0.08,0,0,1,0,1,0,0,0
22,1.0,1,9.25,1,0,1,0,0,0,0,0,1,0,feel good - charlotte cardin,0.71,0.52,0.35,0.56,0.0,116.5,7,0.04,0,0,0,1,0,0,1,0
20,1.0,1,13.25,1,0,0,0,0,0,0,0,0,0,that's so true - gracie abrams,0.37,0.41,0.24,0.79,0.0,87.3,3,0.05,1,0,0,0,1,0,0,0
20,0.0,1,1.7500000000000004,1,0,1,0,0,0,0,0,1,1,"LET ME BE YOUR HALO - horja,neconi",0.63,0.84,0.54,0.19,0.32,133.2,9,0.07,0,1,0,0,1,0,0,0
